City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,severo-yeniseyskiy,60.3725,93.0408,0.81,72,99,4.75,RU,1683871480
121,jining,35.405,116.5814,28.79,27,43,5.5,CN,1683871221
122,moyynkum,44.2914,72.9469,30.33,21,100,2.82,KZ,1683871481
123,yuzhno-kurilsk,44.0306,145.8556,7.38,65,39,1.14,RU,1683871482
124,acapulco de juarez,16.8634,-99.8901,26.06,80,89,0.95,MX,1683871235
125,inhambane,-23.865,35.3833,20.99,94,20,0.0,MZ,1683871483
126,freeport,40.6576,-73.5832,21.21,65,0,4.63,US,1683871416
127,port elizabeth,-33.918,25.5701,14.62,84,20,5.14,ZA,1683871305
128,eenhana,-17.4667,16.3333,15.9,43,8,2.56,NA,1683871486
129,howrah,22.5892,88.3103,34.0,66,40,3.6,IN,1683871486
130,bahia de kino,28.8333,-111.9333,22.63,38,8,1.67,MX,1683871487
131,marquette,46.5333,-87.6335,12.65,84,99,0.45,US,1683871488
132,tamandare,-8.7597,-35.1047,24.69,82,37,1.83,BR,1683871488
133,praia da vitoria,38.7333,-27.0667,16.53,100,75,2.46,PT,1683871488
134,embi,48.8264,58.1442,19.54,57,99,5.07,KZ,1683871489
135,maxixe,-23.8597,35.3472,20.9,94,20,0.0,MZ,1683871290
136,jawhar,2.7809,45.5005,30.62,54,20,7.03,SO,1683871490
137,le port,-20.9373,55.2919,28.0,82,72,1.69,RE,1683871490
138,kerikeri,-35.2268,173.9474,13.28,75,7,2.3,NZ,1683871316
139,mejit,10.2753,170.8646,27.37,82,87,7.6,MH,1683871491
140,huarmey,-10.0681,-78.1522,22.28,86,100,3.27,PE,1683871492
141,codo,-4.4553,-43.8856,22.93,95,43,1.06,BR,1683871492
142,santa catarina mita,14.45,-89.75,22.28,87,60,1.72,GT,1683871492
143,ashland,40.8167,-82.2665,15.3,79,59,1.92,US,1683871493
144,wichita falls,33.9137,-98.4934,24.08,78,0,7.2,US,1683871372
145,souppes-sur-loing,48.183,2.7352,10.71,94,99,2.95,FR,1683871494
146,anastasiyevskaya,45.2158,37.8926,15.27,63,7,3.26,RU,1683871494
147,kailua-kona,19.6406,-155.9956,25.98,85,20,4.63,US,1683871495
148,ruteng,-8.6136,120.4721,23.19,60,39,0.89,ID,1683871495
149,punta arenas,-53.15,-70.9167,7.06,65,20,8.23,CL,1683871331
150,port blair,11.6667,92.75,29.87,74,97,9.94,IN,1683871496
151,ulladulla,-35.35,150.4667,18.76,62,30,2.81,AU,1683871359
152,belyy yar,53.6039,91.3903,12.94,54,0,8.0,RU,1683871497
153,keflavik,64.0049,-22.5624,6.95,93,100,1.54,IS,1683871498
154,balaklava,44.5,33.6,13.34,45,41,0.86,UA,1683871498
155,empalme,27.9667,-110.8167,23.4,32,0,1.7,MX,1683871264
156,bangar,16.8936,120.4243,31.73,65,74,3.29,PH,1683871499
157,carauari,-4.8828,-66.8958,22.31,99,100,0.34,BR,1683871499
158,karbala,32.616,44.0249,35.02,11,0,5.99,IQ,1683871500
159,xichang,27.8964,102.2634,19.11,48,97,1.49,CN,1683871500
160,winnemucca,40.973,-117.7357,12.03,50,0,2.57,US,1683871500
161,hadibu,12.65,54.0333,29.74,66,98,0.75,YE,1683871501
162,fallon,39.4735,-118.7774,16.07,33,0,5.14,US,1683871501
163,berdigestyakh,62.0989,126.6992,6.23,34,100,2.6,RU,1683871502
164,celestun,20.8667,-90.4,28.46,69,22,7.24,MX,1683871502
165,akureyri,65.6835,-18.0878,9.96,66,75,2.57,IS,1683871504
166,ulsteinvik,62.3432,5.8487,12.09,95,100,0.45,NO,1683871505
167,yeed,4.55,43.0333,27.45,60,66,7.96,SO,1683871505
168,badger,64.8,-147.5333,14.14,49,40,2.57,US,1683871506
169,cabo san lucas,22.8909,-109.9124,23.12,72,36,6.06,MX,1683871203
170,anadyr,64.75,177.4833,2.28,80,0,2.0,RU,1683871507
171,avarua,-21.2078,-159.775,25.03,83,75,6.69,CK,1683871507
172,norresundby,57.0483,9.9352,13.92,74,11,3.6,DK,1683871332
173,qaqortoq,60.7167,-46.0333,1.6,88,100,2.31,GL,1683871508
174,bredasdorp,-34.5322,20.0403,12.26,73,76,7.03,ZA,1683871508
175,itoman,26.1247,127.6694,25.22,62,40,5.14,JP,1683871509
176,nevada,39.2502,-116.7512,8.75,39,33,2.32,US,1683871509
177,porto barra do ivinheima,-22.9667,-53.6667,11.74,80,4,1.48,BR,1683871509
178,johnstown,40.3267,-78.922,14.69,77,52,1.03,US,1683871374
179,urengoy,65.9667,78.3667,-7.94,77,88,4.85,RU,1683871510
180,zhelezinka,53.54,75.3072,15.45,38,27,4.55,KZ,1683871511
181,naze,28.3667,129.4833,22.51,63,17,4.01,JP,1683871511
182,yaren,-0.5472,166.916,28.81,79,98,5.7,NR,1683871512
183,lagunas,-5.2269,-75.6753,21.79,99,47,0.52,PE,1683871512
184,karratha,-20.7377,116.8463,29.68,20,0,7.15,AU,1683871512
185,leo,11.1,-2.1,28.48,53,98,4.56,BF,1683871513
186,north bend,43.4065,-124.2243,12.31,82,100,3.09,US,1683871474
187,lihue,21.9789,-159.3672,22.58,86,75,5.66,US,1683871514
188,kaga bandoro,6.9896,19.1874,24.59,83,99,1.72,CF,1683871514
189,shibin al kawm,30.5526,31.009,23.39,48,0,4.66,EG,1683871515
190,lebu,-37.6167,-73.65,12.9,89,100,1.19,CL,1683871347
191,kapa'a,22.0752,-159.319,22.99,86,75,5.66,US,1683871515
192,susuman,62.7833,148.1667,4.76,76,100,1.53,RU,1683871516
193,ixtapa,20.7,-105.2,25.13,64,7,1.03,MX,1683871340
194,touros,-5.1989,-35.4608,25.49,83,97,3.59,BR,1683871517
195,zambezi,-13.5432,23.1047,15.92,51,0,2.95,ZM,1683871519
196,al jahra',29.3375,47.6581,34.19,12,55,3.13,KW,1683871519
197,biltine,14.5333,20.9167,31.16,40,83,1.24,TD,1683871520
198,udachny,66.4167,112.4,6.36,41,100,7.39,RU,1683871521
199,barah,13.7,30.3667,33.92,27,16,3.69,SD,1683871521
200,puerto lempira,15.2667,-83.7667,26.19,87,93,3.47,HN,1683871521
201,hartshill,52.542,-1.5201,9.99,91,100,4.63,GB,1683871522
202,moose jaw,50.4001,-105.5344,11.14,87,100,3.09,CA,1683871266
203,ribeira grande,38.5167,-28.7,15.43,87,44,3.58,PT,1683871523
204,ar raqqah,35.95,39.0167,30.06,17,100,8.56,SY,1683871523
205,natal,-5.795,-35.2094,25.12,88,40,2.06,BR,1683871360
206,ati,13.2154,18.3353,31.74,41,83,1.67,TD,1683871524
207,kapit,2.0167,112.9333,37.03,40,17,0.85,MY,1683871524
208,adrar,20.5022,-10.0711,26.69,21,16,3.79,MR,1683871525
209,isafjordur,66.0755,-23.124,4.71,98,100,2.63,IS,1683871525
210,sorong,-0.8833,131.25,29.61,71,61,3.23,ID,1683871526
211,oriximina,-1.7656,-55.8661,23.13,97,90,0.48,BR,1683871526
212,eraan,9.0629,117.7016,32.54,59,96,1.85,PH,1683871526
213,swakopmund,-22.6833,14.5333,14.47,88,100,2.68,NA,1683871527
214,yangambi,0.8102,24.4336,21.43,99,95,1.28,CD,1683871527
215,radviliskis,55.8167,23.5333,15.03,41,0,1.03,LT,1683871528
216,shenjiamen,29.9576,122.298,18.71,62,91,2.45,CN,1683871528
217,bloomfield,40.8068,-74.1854,21.47,56,0,2.57,US,1683871529
218,malabar,-33.9667,151.25,23.43,65,20,5.14,AU,1683871276
219,vadso,70.0744,29.7487,8.09,81,75,7.2,NO,1683871530
220,alice springs,-23.7,133.8833,22.75,16,0,6.69,AU,1683871531
221,nuuk,64.1835,-51.7216,0.34,86,75,8.23,GL,1683871531
222,pagar alam,-4.0167,103.2667,28.33,67,59,2.5,ID,1683871531
223,betio village,1.358,172.9211,30.02,79,100,5.9,KI,1683871532
